raceId;year;round;circuitId;name;date;time
1;2009;1;1;Australian Grand Prix;29.03.09;06:00:00
2;2009;2;2;Malaysian Grand Prix;05.04.09;09:00:00
3;2009;3;17;Chinese Grand Prix;19.04.09;07:00:00
4;2009;4;3;Bahrain Grand Prix;26.04.09;12:00:00
5;2009;5;4;Spanish Grand Prix;10.05.09;12:00:00
6;2009;6;6;Monaco Grand Prix;24.05.09;12:00:00
7;2009;7;5;Turkish Grand Prix;07.06.09;12:00:00
8;2009;8;9;British Grand Prix;21.06.09;12:00:00
9;2009;9;20;German Grand Prix;12.07.09;12:00:00
10;2009;10;11;Hungarian Grand Prix;26.07.09;12:00:00
11;2009;11;12;European Grand Prix;23.08.09;12:00:00
12;2009;12;13;Belgian Grand Prix;30.08.09;12:00:00
13;2009;13;14;Italian Grand Prix;13.09.09;12:00:00
14;2009;14;15;Singapore Grand Prix;27.09.09;12:00:00
15;2009;15;22;Japanese Grand Prix;04.10.09;05:00:00
16;2009;16;18;Brazilian Grand Prix;18.10.09;16:00:00
17;2009;17;24;Abu Dhabi Grand Prix;01.11.09;11:00:00
18;2008;1;1;Australian Grand Prix;16.03.08;04:30:00
19;2008;2;2;Malaysian Grand Prix;23.03.08;07:00:00
20;2008;3;3;Bahrain Grand Prix;06.04.08;11:30:00
21;2008;4;4;Spanish Grand Prix;27.04.08;12:00:00
22;2008;5;5;Turkish Grand Prix;11.05.08;12:00:00
23;2008;6;6;Monaco Grand Prix;25.05.08;12:00:00
24;2008;7;7;Canadian Grand Prix;08.06.08;17:00:00
25;2008;8;8;French Grand Prix;22.06.08;12:00:00
26;2008;9;9;British Grand Prix;06.07.08;12:00:00
27;2008;10;10;German Grand Prix;20.07.08;12:00:00
28;2008;11;11;Hungarian Grand Prix;03.08.08;12:00:00
29;2008;12;12;European Grand Prix;24.08.08;12:00:00
30;2008;13;13;Belgian Grand Prix;07.09.08;12:00:00
31;2008;14;14;Italian Grand Prix;14.09.08;12:00:00
32;2008;15;15;Singapore Grand Prix;28.09.08;12:00:00
33;2008;16;16;Japanese Grand Prix;12.10.08;04:30:00
34;2008;17;17;Chinese Grand Prix;19.10.08;07:00:00
35;2008;18;18;Brazilian Grand Prix;02.11.08;17:00:00
36;2007;1;1;Australian Grand Prix;18.03.07;03:00:00
37;2007;2;2;Malaysian Grand Prix;08.04.07;07:00:00
38;2007;3;3;Bahrain Grand Prix;15.04.07;11:30:00
39;2007;4;4;Spanish Grand Prix;13.05.07;12:00:00
40;2007;5;6;Monaco Grand Prix;27.05.07;12:00:00
41;2007;6;7;Canadian Grand Prix;10.06.07;17:00:00
42;2007;7;19;United States Grand Prix;17.06.07;17:00:00
43;2007;8;8;French Grand Prix;01.07.07;12:00:00
44;2007;9;9;British Grand Prix;08.07.07;12:00:00
45;2007;10;20;European Grand Prix;22.07.07;12:00:00
46;2007;11;11;Hungarian Grand Prix;05.08.07;12:00:00
47;2007;12;5;Turkish Grand Prix;26.08.07;12:00:00
48;2007;13;14;Italian Grand Prix;09.09.07;12:00:00
49;2007;14;13;Belgian Grand Prix;16.09.07;12:00:00
50;2007;15;16;Japanese Grand Prix;30.09.07;04:30:00
51;2007;16;17;Chinese Grand Prix;07.10.07;06:00:00
52;2007;17;18;Brazilian Grand Prix;21.10.07;16:00:00
53;2006;1;3;Bahrain Grand Prix;12.03.06;14:30:00
54;2006;2;2;Malaysian Grand Prix;19.03.06;15:00:00
55;2006;3;1;Australian Grand Prix;02.04.06;14:00:00
56;2006;4;21;San Marino Grand Prix;23.04.06;14:00:00
57;2006;5;20;European Grand Prix;07.05.06;14:00:00
58;2006;6;4;Spanish Grand Prix;14.05.06;14:00:00
59;2006;7;6;Monaco Grand Prix;28.05.06;14:00:00
60;2006;8;9;British Grand Prix;11.06.06;12:00:00
61;2006;9;7;Canadian Grand Prix;25.06.06;13:00:00
62;2006;10;19;United States Grand Prix;02.07.06;14:00:00
63;2006;11;8;French Grand Prix;16.07.06;14:00:00
64;2006;12;10;German Grand Prix;30.07.06;14:00:00
65;2006;13;11;Hungarian Grand Prix;06.08.06;14:00:00
66;2006;14;5;Turkish Grand Prix;27.08.06;15:00:00
67;2006;15;14;Italian Grand Prix;10.09.06;14:00:00
68;2006;16;17;Chinese Grand Prix;01.10.06;14:00:00
69;2006;17;22;Japanese Grand Prix;08.10.06;14:00:00
70;2006;18;18;Brazilian Grand Prix;22.10.06;14:00:00
71;2005;1;1;Australian Grand Prix;06.03.05;14:00:00
72;2005;2;2;Malaysian Grand Prix;20.03.05;15:00:00
73;2005;3;3;Bahrain Grand Prix;03.04.05;14:30:00
74;2005;4;21;San Marino Grand Prix;24.04.05;14:00:00
75;2005;5;4;Spanish Grand Prix;08.05.05;14:00:00
76;2005;6;6;Monaco Grand Prix;22.05.05;14:00:00
77;2005;7;20;European Grand Prix;29.05.05;14:00:00
78;2005;8;7;Canadian Grand Prix;12.06.05;13:00:00
79;2005;9;19;United States Grand Prix;19.06.05;14:00:00
80;2005;10;8;French Grand Prix;03.07.05;14:00:00
81;2005;11;9;British Grand Prix;10.07.05;14:00:00
82;2005;12;10;German Grand Prix;24.07.05;14:00:00
83;2005;13;11;Hungarian Grand Prix;31.07.05;14:00:00
84;2005;14;5;Turkish Grand Prix;21.08.05;15:00:00
85;2005;15;14;Italian Grand Prix;04.09.05;14:00:00
86;2005;16;13;Belgian Grand Prix;11.09.05;14:00:00
87;2005;17;18;Brazilian Grand Prix;25.09.05;14:00:00
88;2005;18;22;Japanese Grand Prix;09.10.05;14:00:00
89;2005;19;17;Chinese Grand Prix;16.10.05;14:00:00
90;2004;1;1;Australian Grand Prix;07.03.04;X
91;2004;2;2;Malaysian Grand Prix;21.03.04;X
92;2004;3;3;Bahrain Grand Prix;04.04.04;X
93;2004;4;21;San Marino Grand Prix;25.04.04;X
94;2004;5;4;Spanish Grand Prix;09.05.04;X
95;2004;6;6;Monaco Grand Prix;23.05.04;X
96;2004;7;20;European Grand Prix;30.05.04;X
97;2004;8;7;Canadian Grand Prix;13.06.04;X
98;2004;9;19;United States Grand Prix;20.06.04;X
99;2004;10;8;French Grand Prix;04.07.04;X
100;2004;11;9;British Grand Prix;11.07.04;X
101;2004;12;10;German Grand Prix;25.07.04;X
102;2004;13;11;Hungarian Grand Prix;15.08.04;X
103;2004;14;13;Belgian Grand Prix;29.08.04;X
104;2004;15;14;Italian Grand Prix;12.09.04;X
105;2004;16;17;Chinese Grand Prix;26.09.04;X
106;2004;17;22;Japanese Grand Prix;10.10.04;X
107;2004;18;18;Brazilian Grand Prix;24.10.04;X
108;2003;1;1;Australian Grand Prix;09.03.03;X
109;2003;2;2;Malaysian Grand Prix;23.03.03;X
110;2003;3;18;Brazilian Grand Prix;06.04.03;X
111;2003;4;21;San Marino Grand Prix;20.04.03;X
112;2003;5;4;Spanish Grand Prix;04.05.03;X
113;2003;6;23;Austrian Grand Prix;18.05.03;X
114;2003;7;6;Monaco Grand Prix;01.06.03;X
115;2003;8;7;Canadian Grand Prix;15.06.03;X
116;2003;9;20;European Grand Prix;29.06.03;X
117;2003;10;8;French Grand Prix;06.07.03;X
118;2003;11;9;British Grand Prix;20.07.03;X
119;2003;12;10;German Grand Prix;03.08.03;X
120;2003;13;11;Hungarian Grand Prix;24.08.03;X
121;2003;14;14;Italian Grand Prix;14.09.03;X
122;2003;15;19;United States Grand Prix;28.09.03;X
123;2003;16;22;Japanese Grand Prix;12.10.03;X
124;2002;1;1;Australian Grand Prix;03.03.02;X
125;2002;2;2;Malaysian Grand Prix;17.03.02;X
126;2002;3;18;Brazilian Grand Prix;31.03.02;X
127;2002;4;21;San Marino Grand Prix;14.04.02;X
128;2002;5;4;Spanish Grand Prix;28.04.02;X
129;2002;6;23;Austrian Grand Prix;12.05.02;X
130;2002;7;6;Monaco Grand Prix;26.05.02;X
131;2002;8;7;Canadian Grand Prix;09.06.02;X
132;2002;9;20;European Grand Prix;23.06.02;X
133;2002;10;9;British Grand Prix;07.07.02;X
134;2002;11;8;French Grand Prix;21.07.02;X
135;2002;12;10;German Grand Prix;28.07.02;X
136;2002;13;11;Hungarian Grand Prix;18.08.02;X
137;2002;14;13;Belgian Grand Prix;01.09.02;X
138;2002;15;14;Italian Grand Prix;15.09.02;X
139;2002;16;19;United States Grand Prix;29.09.02;X
140;2002;17;22;Japanese Grand Prix;13.10.02;X
141;2001;1;1;Australian Grand Prix;04.03.01;X
142;2001;2;2;Malaysian Grand Prix;18.03.01;X
